researcher_id;first_name;last_name;gender;birth_date;email
1;Murial;Cuthill;Female;1965-08-30;mcuthill0@psu.edu
2;Lou;Obell;Female;1986-05-08;lobell1@dion.ne.jp
3;Carmon;Leyborne;Female;1973-01-06;cleyborne2@oaic.gov.au
4;Dorian;Nordass;Male;1981-12-06;dnordass3@123-reg.co.uk
5;Cherilyn;Tolussi;Genderfluid;1967-03-13;ctolussi4@theguardian.com
6;Duffy;Filgate;Male;1982-02-01;dfilgate5@wordpress.com
7;Caroline;Krabbe;Female;1967-04-15;ckrabbe6@fotki.com
8;Marlane;Witham;Female;1975-04-07;mwitham7@bizjournals.com
9;Dur;Greenland;Male;1978-07-15;dgreenland8@reference.com
10;Vito;Lyston;Male;1986-01-03;vlyston9@elpais.com
11;Kari;Lathe;Female;1977-01-06;klathea@imgur.com
12;Martica;Sawle;Female;1974-04-15;msawleb@umich.edu
13;Brunhilde;Orrice;Female;1981-05-06;borricec@state.tx.us
14;Haleigh;Cuffin;Female;1984-07-22;hcuffind@hc360.com
15;Alisha;Nutbean;Female;1977-03-01;anutbeane@paginegialle.it
16;Elmira;Saker;Female;1973-03-25;esakerf@surveymonkey.com
17;Kaylee;Salliss;Female;1961-09-25;ksallissg@creativecommons.org
18;Arny;Soanes;Agender;1990-02-07;asoanesh@newsvine.com
19;Alisun;Curds;Female;1978-10-20;acurdsi@themeforest.net
20;Erroll;Snalom;Non-binary;1988-01-03;esnalomj@google.com.br
21;Dwayne;Dragon;Male;1969-09-05;ddragonk@bloomberg.com
22;Arlin;Stein;Male;1960-09-13;asteinl@archive.org
23;Gertrud;Dach;Female;1986-09-26;gdachm@disqus.com
24;Evania;Ferenc;Bigender;1986-11-15;eferencn@scribd.com
25;Blancha;Pilling;Female;1967-12-29;bpillingo@mediafire.com
26;Charlot;Yuille;Female;1964-04-17;cyuillep@g.co
27;Karylin;Yurkov;Female;1960-06-17;kyurkovq@about.com
28;Xylina;Peirazzi;Female;1981-05-09;xpeirazzir@reuters.com
29;Cherey;Ropert;Female;1966-02-25;croperts@ftc.gov
30;Kelbee;Tisun;Male;1961-02-01;ktisunt@pagesperso-orange.fr
31;Bev;Featley;Male;1977-03-17;bfeatleyu@sun.com
32;Aggy;Gravell;Female;1961-03-12;agravellv@hibu.com
33;Hinda;Biss;Female;1962-05-26;hbissw@thetimes.co.uk
34;Pyotr;Popham;Male;1964-06-21;ppophamx@nps.gov
