staff_id;first_name;last_name;email;department
1;Jeramey;McRitchie;jmcritchie0@cbslocal.com;Human Resources
2;Remy;Arnley;rarnley1@nifty.com;Research and Development
3;Clara;Leydon;cleydon2@discuz.net;Marketing
4;Danya;McCombe;dmccombe3@nationalgeographic.com;Accounting
5;Callean;Phillipson;cphillipson4@google.co.jp;Legal
6;Mal;Munsey;mmunsey5@mayoclinic.com;Accounting
7;Esther;Cumberpatch;ecumberpatch6@barnesandnoble.com;Business Development
8;Barnebas;Guile;bguile7@cargocollective.com;Services
9;Doralyn;Coady;dcoady8@smh.com.au;Services
10;Brose;Haacker;bhaacker9@devhub.com;Research and Development
11;Fernandina;Peteri;fpeteria@telegraph.co.uk;Marketing
12;Emmy;Cabrara;ecabrarab@archive.org;Accounting
13;Igor;Hindmore;ihindmorec@alibaba.com;Business Development
14;Algernon;Hampstead;ahampsteadd@cnbc.com;Marketing
15;Shayne;Dark;sdarke@earthlink.net;Marketing
16;Abeu;Senett;asenettf@wiley.com;Services
17;Giana;Derill;gderillg@arstechnica.com;Training
18;Herculie;Jannasch;hjannaschh@oaic.gov.au;Marketing
19;Avigdor;Bartolini;abartolinii@live.com;Human Resources
20;Ardeen;Alflat;aalflatj@smugmug.com;Research and Development
